"country_name","region","ppp_implied_rate","actual_market_rate","market_rate_year","market_rate_month","pct_over_undervalued","valuation_flag"
"China","East Asia & Pacific","3.26","6.89",2026,3,"111.54","BLUE - Significantly Undervalued"
"South Africa","Sub-Saharan Africa","7.95","16.68",2026,3,"109.70","BLUE - Significantly Undervalued"
"Trinidad and Tobago","Latin America & Caribbean","3.27","6.73",2026,3,"106.13","BLUE - Significantly Undervalued"
"Lebanon","Middle East, North Africa, Afghanistan & Pakistan","43989.72","89576.00",2026,3,"103.63","BLUE - Significantly Undervalued"
"Bolivia","Latin America & Caribbean","3.42","6.89",2026,3,"101.38","BLUE - Significantly Undervalued"
"Belize","Latin America & Caribbean","1.01","2.00",2026,2,"98.02","BLUE - Significantly Undervalued"
"Cabo Verde","Sub-Saharan Africa","47.76","94.23",2025,12,"97.28","BLUE - Significantly Undervalued"
"Honduras","Latin America & Caribbean","13.48","26.52",2026,3,"96.84","BLUE - Significantly Undervalued"
"St. Vincent and the Grenadines","Latin America & Caribbean","1.37","2.70",2026,2,"96.79","BLUE - Significantly Undervalued"
"Kazakhstan","Europe & Central Asia","249.82","488.57",2026,3,"95.57","BLUE - Significantly Undervalued"
"Dominica","Latin America & Caribbean","1.39","2.70",2026,2,"93.69","BLUE - Significantly Undervalued"
"Angola","Sub-Saharan Africa","480.30","927.14",2026,3,"93.04","BLUE - Significantly Undervalued"
"Maldives","South Asia","8.01","15.38",2026,3,"91.96","BLUE - Significantly Undervalued"
"St. Lucia","Latin America & Caribbean","1.41","2.70",2026,2,"91.76","BLUE - Significantly Undervalued"
"Moldova","Europe & Central Asia","9.11","17.38",2026,3,"90.67","BLUE - Significantly Undervalued"
"Macao SAR, China","East Asia & Pacific","4.28","8.06",2026,3,"88.25","BLUE - Significantly Undervalued"
"Seychelles","Sub-Saharan Africa","7.62","14.30",2026,3,"87.73","BLUE - Significantly Undervalued"
"Zambia","Sub-Saharan Africa","10.34","19.38",2026,3,"87.55","BLUE - Significantly Undervalued"
"Korea, Rep.","East Asia & Pacific","793.42","1486.75",2026,3,"87.38","BLUE - Significantly Undervalued"
"Romania","Europe & Central Asia","2.35","4.40",2026,3,"87.16","BLUE - Significantly Undervalued"
"Albania","Europe & Central Asia","44.42","82.99",2026,3,"86.83","BLUE - Significantly Undervalued"
"Poland","Europe & Central Asia","2.00","3.69",2026,3,"84.34","BLUE - Significantly Undervalued"
"Brazil","Latin America & Caribbean","2.85","5.23",2026,3,"83.50","BLUE - Significantly Undervalued"
"Peru","Latin America & Caribbean","1.89","3.44",2026,3,"82.65","BLUE - Significantly Undervalued"
"Chile","Latin America & Caribbean","506.35","909.41",2026,3,"79.60","BLUE - Significantly Undervalued"
"Qatar","Middle East, North Africa, Afghanistan & Pakistan","2.05","3.67",2026,2,"79.08","BLUE - Significantly Undervalued"
"Grenada","Latin America & Caribbean","1.51","2.70",2026,2,"78.45","BLUE - Significantly Undervalued"
"Kuwait","Middle East, North Africa, Afghanistan & Pakistan","0.18","0.31",2026,2,"76.64","BLUE - Significantly Undervalued"
"Hungary","Europe & Central Asia","196.59","336.16",2026,3,"71.00","BLUE - Significantly Undervalued"
"United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","2.18","3.67",2026,2,"68.41","BLUE - Significantly Undervalued"
"Japan","East Asia & Pacific","95.19","158.50",2026,3,"66.52","BLUE - Significantly Undervalued"
"Ghana","Sub-Saharan Africa","6.55","10.85",2026,3,"65.76","BLUE - Significantly Undervalued"
"Singapore","East Asia & Pacific","0.79","1.28",2026,3,"62.44","BLUE - Significantly Undervalued"
"Czechia","Europe & Central Asia","13.05","21.11",2026,3,"61.84","BLUE - Significantly Undervalued"
"St. Kitts and Nevis","Latin America & Caribbean","1.72","2.70",2026,2,"56.70","BLUE - Significantly Undervalued"
"Costa Rica","Latin America & Caribbean","301.37","469.87",2026,3,"55.91","BLUE - Significantly Undervalued"
"Mexico","Latin America & Caribbean","11.37","17.73",2026,3,"55.87","BLUE - Significantly Undervalued"
"Congo, Dem. Rep.","Sub-Saharan Africa","1478.31","2213.63",2026,3,"49.74","BLUE - Significantly Undervalued"
"Libya","Middle East, North Africa, Afghanistan & Pakistan","3.73","5.46",2025,11,"46.22","BLUE - Significantly Undervalued"
"Antigua and Barbuda","Latin America & Caribbean","1.85","2.70",2026,3,"45.79","BLUE - Significantly Undervalued"
"Hong Kong SAR, China","East Asia & Pacific","5.62","7.83",2026,3,"39.28","BLUE - Significantly Undervalued"
"Jamaica","Latin America & Caribbean","112.19","156.03",2026,3,"39.07","BLUE - Significantly Undervalued"
"Papua New Guinea","East Asia & Pacific","3.10","4.30",2026,3,"38.64","BLUE - Significantly Undervalued"
"Aruba","Latin America & Caribbean","1.32","1.79",2026,3,"35.71","BLUE - Significantly Undervalued"
"Argentina","Latin America & Caribbean","1050.53","1395.91",2026,3,"32.88","BLUE - Significantly Undervalued"
"Kiribati","East Asia & Pacific","1.10","1.42",2026,2,"28.50","BLUE - Significantly Undervalued"
"Samoa","East Asia & Pacific","2.14","2.72",2026,3,"26.76","BLUE - Significantly Undervalued"
"Uruguay","Latin America & Caribbean","32.42","40.17",2026,3,"23.89","GREEN - Undervalued"
"San Marino","Europe & Central Asia","0.69","0.85",2026,2,"22.74","GREEN - Undervalued"
"Malawi","Sub-Saharan Africa","1465.82","1733.70",2026,3,"18.28","GREEN - Undervalued"
"Sao Tome and Principe","Sub-Saharan Africa","17.87","20.88",2025,9,"16.88","GREEN - Undervalued"
"Burundi","Sub-Saharan Africa","2550.24","2970.27",2026,3,"16.47","GREEN - Undervalued"
"Canada","North America","1.19","1.37",2026,3,"15.03","GREEN - Undervalued"
"Turkey","Europe & Central Asia","38.78","44.18",2026,3,"13.91","GREEN - Undervalued"
"New Zealand","East Asia & Pacific","1.51","1.71",2026,3,"12.86","GREEN - Undervalued"
"United Kingdom","Europe & Central Asia","0.67","0.75",2026,3,"12.43","GREEN - Undervalued"
"Sweden","Europe & Central Asia","8.45","9.29",2026,3,"9.99","NEUTRAL - Near Fair Value"
"Denmark","Europe & Central Asia","5.90","6.46",2026,3,"9.58","NEUTRAL - Near Fair Value"
"Norway","Europe & Central Asia","8.91","9.65",2026,3,"8.29","NEUTRAL - Near Fair Value"
"Bahamas, The","Latin America & Caribbean","0.92","1.00",2026,3,"8.23","NEUTRAL - Near Fair Value"
"Latvia","Europe & Central Asia","0.56","0.61",2026,3,"8.14","NEUTRAL - Near Fair Value"
"Solomon Islands","East Asia & Pacific","7.52","8.03",2026,3,"6.83","NEUTRAL - Near Fair Value"
"Tonga","East Asia & Pacific","2.30","2.35",2026,3,"2.10","NEUTRAL - Near Fair Value"
"United States","North America","1.00","1.00",2026,3,"0.00","NEUTRAL - Near Fair Value"
"Australia","East Asia & Pacific","1.47","1.42",2026,3,"-3.27","NEUTRAL - Near Fair Value"
"Vanuatu","East Asia & Pacific","126.11","119.24",2026,3,"-5.45","NEUTRAL - Near Fair Value"
"Ireland","Europe & Central Asia","0.72","0.68",2026,3,"-5.82","NEUTRAL - Near Fair Value"
"Switzerland","Europe & Central Asia","0.87","0.78",2026,3,"-9.57","NEUTRAL - Near Fair Value"
"Micronesia, Fed. Sts.","East Asia & Pacific","1.12","1.00",2026,2,"-10.55","YELLOW - Overvalued"
"Cyprus","Europe & Central Asia","0.58","0.51",2026,3,"-12.61","YELLOW - Overvalued"
"Barbados","Latin America & Caribbean","2.30","2.00",2026,3,"-12.89","YELLOW - Overvalued"
"Israel","Middle East, North Africa, Afghanistan & Pakistan","3.75","3.11",2026,3,"-17.09","YELLOW - Overvalued"
"Iceland","Europe & Central Asia","170.66","124.55",2026,3,"-27.01","RED - Significantly Overvalued"
"Malta","Middle East, North Africa, Afghanistan & Pakistan","0.56","0.37",2026,3,"-33.25","RED - Significantly Overvalued"
"Haiti","Latin America & Caribbean","217.23","131.11",2026,3,"-39.65","RED - Significantly Overvalued"
"Venezuela, RB","Latin America & Caribbean","670.74","234.31",2025,11,"-65.07","RED - Significantly Overvalued"
"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan","903.14","238.47",2026,3,"-73.59","RED - Significantly Overvalued"
"Sudan","Sub-Saharan Africa","4280.27","648.45",2024,10,"-84.85","RED - Significantly Overvalued"
"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan","959624.82","42000.00",2026,1,"-95.62","RED - Significantly Overvalued"
