"country_name","region","unemployment_rate_pct","inflation_pct","misery_index","global_misery_rank","regional_misery_rank","misery_severity_flag"
"Costa Rica","Latin America & Caribbean","8.00","3.00","11.00","30","7","GREEN - Manageable"
"Bahamas, The","Latin America & Caribbean","9.00","1.97","10.98","31","8","GREEN - Manageable"
"Finland","Europe & Central Asia","8.78","2.00","10.78","32","10","GREEN - Manageable"
"Kyrgyz Republic","Europe & Central Asia","3.98","6.55","10.53","33","11","GREEN - Manageable"
"Honduras","Latin America & Caribbean","6.50","4.00","10.50","34","9","GREEN - Manageable"
"Cabo Verde","Sub-Saharan Africa","8.50","2.00","10.50","34","5","GREEN - Manageable"
"Brazil","Latin America & Caribbean","7.40","3.00","10.40","36","10","GREEN - Manageable"
"Chile","Latin America & Caribbean","7.35","3.00","10.35","37","11","GREEN - Manageable"
"Sweden","Europe & Central Asia","7.54","2.00","9.54","38","12","GREEN - Manageable"
"Mauritius","Sub-Saharan Africa","5.91","3.48","9.38","39","6","GREEN - Manageable"
"Kazakhstan","Europe & Central Asia","4.35","5.00","9.35","40","13","GREEN - Manageable"
"Barbados","Latin America & Caribbean","6.81","2.41","9.21","41","12","GREEN - Manageable"
"France","Europe & Central Asia","7.29","1.81","9.11","42","14","GREEN - Manageable"
"Dominican Republic","Latin America & Caribbean","5.00","4.03","9.03","43","13","GREEN - Manageable"
"Azerbaijan","Europe & Central Asia","4.98","4.00","8.98","44","15","GREEN - Manageable"
"India","South Asia","4.94","4.00","8.94","45","1","GREEN - Manageable"
"Greece","Europe & Central Asia","6.76","2.10","8.86","46","16","GREEN - Manageable"
"Paraguay","Latin America & Caribbean","5.20","3.50","8.70","47","14","GREEN - Manageable"
"Estonia","Europe & Central Asia","6.21","2.35","8.56","48","17","GREEN - Manageable"
"Peru","Latin America & Caribbean","6.50","2.02","8.52","49","15","GREEN - Manageable"
"Moldova","Europe & Central Asia","3.50","5.00","8.50","50","18","GREEN - Manageable"
"Latvia","Europe & Central Asia","6.26","2.20","8.46","51","19","GREEN - Manageable"
"Jamaica","Latin America & Caribbean","3.40","5.00","8.40","52","16","GREEN - Manageable"
"Lithuania","Europe & Central Asia","5.90","2.50","8.40","53","20","GREEN - Manageable"
"Bahrain","Middle East, North Africa, Afghanistan & Pakistan","6.20","2.00","8.20","54","10","GREEN - Manageable"
"Uzbekistan","Europe & Central Asia","3.00","5.00","8.00","55","21","GREEN - Manageable"
"Panama","Latin America & Caribbean","6.00","2.00","8.00","55","17","GREEN - Manageable"
"Italy","Europe & Central Asia","5.99","2.00","7.99","57","22","GREEN - Manageable"
"Romania","Europe & Central Asia","5.45","2.54","7.99","58","23","GREEN - Manageable"
"Canada","North America","6.00","1.95","7.96","59","1","GREEN - Manageable"
"Puerto Rico (U.S.)","Latin America & Caribbean","5.86","2.07","7.93","60","18","GREEN - Manageable"
"Belarus","Europe & Central Asia","2.89","4.98","7.87","61","24","GREEN - Manageable"
"Luxembourg","Europe & Central Asia","5.82","2.04","7.86","62","25","GREEN - Manageable"
"Portugal","Europe & Central Asia","5.68","1.98","7.66","63","26","GREEN - Manageable"
"Belgium","Europe & Central Asia","5.80","1.81","7.61","64","27","GREEN - Manageable"
"Slovak Republic","Europe & Central Asia","5.59","1.98","7.56","65","28","GREEN - Manageable"
"Bhutan","South Asia","3.50","4.00","7.50","66","2","GREEN - Manageable"
"Tajikistan","Europe & Central Asia","2.49","5.00","7.49","67","29","GREEN - Manageable"
"Russian Federation","Europe & Central Asia","3.40","4.00","7.40","68","30","GREEN - Manageable"
"Philippines","East Asia & Pacific","4.37","3.00","7.37","69","2","GREEN - Manageable"
"Austria","Europe & Central Asia","5.23","2.09","7.32","70","31","GREEN - Manageable"
"Indonesia","East Asia & Pacific","4.70","2.52","7.22","71","3","GREEN - Manageable"
"Croatia","Europe & Central Asia","4.70","2.48","7.18","72","32","GREEN - Manageable"
"China","East Asia & Pacific","5.10","1.99","7.09","73","4","GREEN - Manageable"
"Ireland","Europe & Central Asia","5.04","2.04","7.08","74","33","GREEN - Manageable"
"Fiji","East Asia & Pacific","4.50","2.50","7.00","75","5","GREEN - Manageable"
"Australia","East Asia & Pacific","4.46","2.43","6.89","76","6","GREEN - Manageable"
"Hungary","Europe & Central Asia","3.80","3.01","6.81","77","34","GREEN - Manageable"
"Cyprus","Europe & Central Asia","4.73","2.00","6.73","78","35","GREEN - Manageable"
"El Salvador","Latin America & Caribbean","4.78","1.80","6.58","79","19","GREEN - Manageable"
"Netherlands","Europe & Central Asia","4.54","2.00","6.54","80","36","GREEN - Manageable"
"Iceland","Europe & Central Asia","4.00","2.50","6.50","81","37","GREEN - Manageable"
"United Kingdom","Europe & Central Asia","4.50","2.00","6.50","81","37","GREEN - Manageable"
"Aruba","Latin America & Caribbean","4.45","2.00","6.45","83","20","GREEN - Manageable"
"San Marino","Europe & Central Asia","4.44","2.00","6.44","84","39","GREEN - Manageable"
"New Zealand","East Asia & Pacific","4.41","2.02","6.42","85","7","GREEN - Manageable"
"Slovenia","Europe & Central Asia","4.07","2.10","6.16","86","40","GREEN - Manageable"
"Trinidad and Tobago","Latin America & Caribbean","4.09","1.99","6.08","87","21","GREEN - Manageable"
"United States","North America","3.86","2.18","6.04","88","2","GREEN - Manageable"
"Nicaragua","Latin America & Caribbean","3.00","3.00","6.00","89","22","GREEN - Manageable"
"Norway","Europe & Central Asia","3.90","2.00","5.90","90","41","GREEN - Manageable"
"Mexico","Latin America & Caribbean","2.80","3.00","5.80","91","23","GREEN - Manageable"
"Vietnam","East Asia & Pacific","2.18","3.60","5.78","92","8","GREEN - Manageable"
"Brunei Darussalam","East Asia & Pacific","4.75","1.00","5.75","93","9","GREEN - Manageable"
"Poland","Europe & Central Asia","3.18","2.50","5.68","94","42","GREEN - Manageable"
"Sri Lanka","South Asia","4.40","1.24","5.64","95","3","GREEN - Manageable"
"Israel","Middle East, North Africa, Afghanistan & Pakistan","3.60","2.02","5.62","96","11","GREEN - Manageable"
"Saudi Arabia","Middle East, North Africa, Afghanistan & Pakistan","3.50","2.00","5.50","97","12","GREEN - Manageable"
"Bulgaria","Europe & Central Asia","3.20","2.25","5.45","98","43","GREEN - Manageable"
"Hong Kong SAR, China","East Asia & Pacific","2.67","2.48","5.15","99","10","GREEN - Manageable"
"Malaysia","East Asia & Pacific","3.00","1.99","4.99","100","11","GREEN - Manageable"
"Germany","Europe & Central Asia","2.87","2.10","4.97","101","44","GREEN - Manageable"
"Malta","Middle East, North Africa, Afghanistan & Pakistan","2.98","1.98","4.95","102","13","GREEN - Manageable"
"Seychelles","Sub-Saharan Africa","2.44","2.50","4.94","103","7","GREEN - Manageable"
"Czechia","Europe & Central Asia","2.90","2.00","4.90","104","45","GREEN - Manageable"
"Denmark","Europe & Central Asia","2.90","2.00","4.90","104","45","GREEN - Manageable"
"Taiwan, China","East Asia & Pacific","3.35","1.51","4.86","106","12","GREEN - Manageable"
"Korea, Rep.","East Asia & Pacific","2.80","2.00","4.80","107","13","GREEN - Manageable"
"Ecuador","Latin America & Caribbean","3.10","1.50","4.60","108","24","GREEN - Manageable"
"Japan","East Asia & Pacific","2.53","1.97","4.50","109","14","GREEN - Manageable"
"Liechtenstein","Europe & Central Asia","3.75","0.70","4.45","110","47","GREEN - Manageable"
"Singapore","East Asia & Pacific","2.10","1.97","4.07","111","15","GREEN - Manageable"
"Belize","Latin America & Caribbean","2.60","1.26","3.86","112","25","GREEN - Manageable"
"Macao SAR, China","East Asia & Pacific","1.65","2.20","3.85","113","16","GREEN - Manageable"
"Andorra","Europe & Central Asia","1.50","2.00","3.50","114","48","GREEN - Manageable"
"Switzerland","Europe & Central Asia","2.80","0.70","3.50","114","48","GREEN - Manageable"
"Thailand","East Asia & Pacific","1.00","1.80","2.80","116","17","GREEN - Manageable"
